N RS DS
10000 4.8e-05 9.4e-05 1
20000 2.3e-05 0.000188 1
30000 4.3e-05 0.000262 1
40000 5.6e-05 0.000434 1
50000 8.9e-05 0.000516 1
60000 0.000142 0.001036 1
70000 0.000148 0.000901 1
80000 0.00019 0.001211 1
90000 0.000182 0.000974 1
100000 0.000198 0.001223 1
110000 0.000254 0.00124 1
120000 0.000395 0.001667 1
130000 0.000238 0.001404 1
140000 0.000316 0.001682 1
150000 0.00045 0.00264 1
160000 0.000514 0.002227 1
170000 0.000521 0.002287 1
180000 0.000489 0.001971 1
190000 0.000474 0.002306 1
200000 0.000433 0.003057 1
210000 0.000643 0.003293 1
220000 0.000332 0.001884 1
230000 0.00053 0.002468 1
240000 0.000589 0.003048 1
250000 0.000474 0.003246 1
260000 0.000694 0.003689 1
270000 0.000403 0.002803 1
280000 0.000534 0.003228 1
290000 0.000598 0.003335 1
300000 0.000941 0.003445 1
310000 0.000486 0.003237 1
320000 0.000644 0.003753 1
330000 0.000699 0.004177 1
340000 0.000665 0.002899 1
350000 0.000684 0.003508 1
360000 0.000658 0.003834 1
370000 0.000688 0.003577 1
380000 0.001082 0.004104 1
390000 0.000808 0.004166 1
400000 0.00115 0.006279 1
410000 0.000875 0.00593 1
420000 0.000894 0.005815 1
430000 0.000704 0.00393 1
440000 0.000965 0.004437 1
450000 0.000964 0.005663 1
460000 0.000726 0.004738 1
470000 0.000851 0.005383 1
480000 0.001575 0.004852 1
490000 0.000903 0.005635 1
500000 0.001132 0.006204 1
510000 0.000849 0.005833 1
520000 0.00122 0.007498 1
530000 0.001048 0.005615 1
540000 0.000826 0.0056 1
550000 0.001168 0.005653 1
560000 0.000912 0.005076 1
570000 0.001056 0.006543 1
580000 0.001016 0.005156 1
590000 0.000907 0.00638 1
600000 0.002009 0.005858 1
610000 0.001035 0.006857 1
620000 0.001352 0.006147 1
630000 0.001031 0.006158 1
640000 0.001869 0.006704 1
650000 0.00108 0.006538 1
660000 0.001867 0.007005 1
670000 0.001122 0.006814 1
680000 0.00188 0.006994 1
690000 0.001216 0.007214 1
700000 0.001597 0.00697 1
710000 0.001342 0.008297 1
720000 0.001989 0.007196 1
730000 0.00126 0.008071 1
