N RS DS
10000 2.6e-05 0.000151 1
20000 7.8e-05 0.000384 1
30000 8.6e-05 0.000327 1
40000 0.000115 0.000561 1
50000 0.000175 0.000812 1
60000 0.000237 0.000661 1
70000 0.000213 0.001001 1
80000 0.000284 0.001661 1
90000 0.000428 0.001753 1
100000 0.000356 0.001018 1
110000 0.000308 0.001638 1
120000 0.000497 0.001073 1
130000 0.000477 0.002311 1
140000 0.00059 0.002429 1
150000 0.000487 0.001618 1
160000 0.000662 0.003035 1
170000 0.000837 0.002517 1
180000 0.000768 0.002253 1
190000 0.000671 0.002858 1
200000 0.000707 0.002761 1
210000 0.001134 0.003609 1
220000 0.000905 0.002945 1
230000 0.000865 0.003211 1
240000 0.001021 0.00305 1
250000 0.001283 0.003911 1
260000 0.000751 0.003202 1
270000 0.000726 0.004538 1
280000 0.000918 0.004318 1
290000 0.001006 0.003606 1
300000 0.00088 0.004916 1
310000 0.001389 0.005162 1
320000 0.001116 0.00358 1
330000 0.000805 0.004361 1
340000 0.001157 0.006722 1
350000 0.001398 0.005409 1
360000 0.001207 0.004552 1
370000 0.001721 0.004778 1
380000 0.001029 0.005539 1
390000 0.001284 0.0052 1
400000 0.001141 0.00489 1
410000 0.001508 0.004884 1
420000 0.001819 0.005515 1
430000 0.001236 0.005877 1
440000 0.00129 0.005481 1
450000 0.001156 0.005661 1
460000 0.002079 0.006066 1
470000 0.001357 0.005423 1
480000 0.002025 0.006249 1
490000 0.001293 0.005287 1
500000 0.001251 0.007625 1
510000 0.002027 0.005582 1
520000 0.001284 0.007071 1
530000 0.001798 0.005732 1
540000 0.001294 0.00821 1
550000 0.002348 0.006143 1
560000 0.002295 0.007175 1
570000 0.001511 0.006216 1
580000 0.002297 0.007112 1
590000 0.001527 0.006933 1
600000 0.002609 0.007188 1
610000 0.001717 0.007566 1
620000 0.001789 0.007285 1
630000 0.001549 0.008252 1
640000 0.002576 0.006569 1
650000 0.001764 0.008415 1
660000 0.001684 0.007974 1
670000 0.002365 0.007568 1
680000 0.001597 0.009333 1
690000 0.002518 0.006795 1
700000 0.002561 0.008098 1
710000 0.001768 0.009111 1
720000 0.00254 0.007811 1
730000 0.002342 0.009062 1
740000 0.002027 0.009084 1
750000 0.00278 0.007911 1
760000 0.00225 0.00934 1
770000 0.003739 0.012484 1
780000 0.002197 0.008955 1
790000 0.003434 0.007598 1
800000 0.002614 0.009483 1
810000 0.002194 0.010704 1
820000 0.003764 0.010018 1
830000 0.003072 0.008322 1
840000 0.003698 0.008863 1
850000 0.002262 0.010909 1
860000 0.00257 0.009349 1
870000 0.003186 0.008058 1
880000 0.002535 0.01014 1
890000 0.00242 0.011017 1
900000 0.002571 0.009527 1
910000 0.003362 0.008713 1
920000 0.003003 0.010423 1
930000 0.002547 0.011123 1
940000 0.002672 0.011352 1
950000 0.003246 0.010906 1
960000 0.004073 0.009204 1
970000 0.004604 0.018526 1
980000 0.004926 0.011304 1
990000 0.003311 0.010624 1
1000000 0.004343 0.010485 1
1010000 0.003716 0.009791 1
1020000 0.004124 0.010388 1
1030000 0.003066 0.01113 1
1040000 0.002963 0.012009 1
1050000 0.003107 0.01278 1
1060000 0.003082 0.012539 1
1070000 0.003271 0.012292 1
1080000 0.003465 0.012285 1
1090000 0.003925 0.011791 1
1100000 0.004468 0.011745 1
1110000 0.004021 0.012114 1
1120000 0.004223 0.011708 1
1130000 0.004772 0.013465 1
1140000 0.00583 0.014469 1
1150000 0.00392 0.013572 1
1160000 0.003897 0.013159 1
1170000 0.003461 0.013262 1
1180000 0.003469 0.013473 1
1190000 0.003969 0.012478 1
1200000 0.003895 0.013604 1
1210000 0.004151 0.013463 1
1220000 0.004021 0.012836 1
1230000 0.004462 0.012512 1
1240000 0.005073 0.012793 1
1250000 0.004507 0.012454 1
1260000 0.004582 0.012799 1
1270000 0.004712 0.013002 1
1280000 0.005285 0.012536 1
1290000 0.005153 0.013799 1
1300000 0.004831 0.014132 1
1310000 0.004136 0.014561 1
1320000 0.004094 0.014945 1
1330000 0.004457 0.01364 1
1340000 0.004611 0.014142 1
1350000 0.005332 0.014077 1
1360000 0.005109 0.014063 1
1370000 0.005421 0.014913 1
1380000 0.004235 0.015446 1
1390000 0.005013 0.014561 1
1400000 0.005256 0.015439 1
1410000 0.005264 0.01515 1
1420000 0.004863 0.015734 1
1430000 0.004464 0.015351 1
1440000 0.005297 0.013944 1
1450000 0.005974 0.014984 1
1460000 0.005341 0.015418 1
1470000 0.004531 0.016427 1
1480000 0.005403 0.015148 1
1490000 0.005815 0.0171 1
1500000 0.00526 0.015995 1
1510000 0.004634 0.018615 1
1520000 0.005837 0.018897 1
1530000 0.004865 0.016377 1
1540000 0.006593 0.015914 1
1550000 0.005749 0.017892 1
1560000 0.004885 0.019433 1
1570000 0.005724 0.01615 1
1580000 0.005356 0.016007 1
1590000 0.007364 0.018027 1
1600000 0.005477 0.016637 1
1610000 0.007597 0.016496 1
1620000 0.005706 0.016896 1
1630000 0.004696 0.016451 1
1640000 0.007126 0.019875 1
1650000 0.006018 0.019951 1
1660000 0.006472 0.017381 1
1670000 0.005086 0.017059 1
1680000 0.006668 0.018569 1
1690000 0.005194 0.017936 1
1700000 0.006356 0.018323 1
1710000 0.005641 0.019123 1
1720000 0.006424 0.019029 1
1730000 0.005615 0.018722 1
1740000 0.00658 0.017883 1
