N RS DS
10000 4.1e-05 0.000276 1
20000 8.7e-05 0.000441 1
30000 0.000232 0.000631 1
40000 0.000183 0.001288 1
50000 0.000462 0.001287 1
60000 0.000492 0.002002 1
70000 0.000475 0.001841 1
80000 0.000311 0.001562 1
90000 0.000481 0.002656 1
100000 0.000316 0.003083 1
110000 0.000867 0.002313 1
120000 0.000355 0.002072 1
130000 0.000527 0.003901 1
140000 0.00152 0.003584 1
150000 0.000734 0.003218 1
160000 0.000559 0.004072 1
170000 0.001364 0.004064 1
180000 0.000882 0.003741 1
190000 0.001371 0.004024 1
200000 0.001391 0.00446 1
210000 0.000847 0.00398 1
220000 0.001211 0.003815 1
230000 0.002343 0.004732 1
240000 0.000704 0.004447 1
250000 0.002022 0.005275 1
260000 0.000724 0.00497 1
270000 0.00116 0.005489 1
280000 0.001494 0.005552 1
290000 0.001989 0.004669 1
300000 0.001022 0.006176 1
310000 0.00251 0.006386 1
320000 0.001889 0.006571 1
330000 0.001154 0.005091 1
340000 0.001023 0.005788 1
350000 0.000701 0.005999 1
360000 0.001968 0.006794 1
370000 0.001288 0.005743 1
380000 0.001211 0.004946 1
390000 0.002046 0.00622 1
400000 0.004977 0.006568 1
410000 0.008301 0.006865 1
420000 0.001601 0.007263 1
430000 0.001643 0.007302 1
440000 0.004551 0.006479 1
450000 0.007713 0.006352 1
460000 0.000801 0.007226 1
470000 0.007899 0.008131 1
480000 0.001706 0.007604 1
490000 0.002884 0.008798 1
500000 0.011869 0.009277 1
510000 0.001518 0.008542 1
520000 0.001598 0.00749 1
530000 0.008928 0.007349 1
540000 0.002785 0.008529 1
550000 0.005141 0.011072 1
560000 0.002262 0.010272 1
570000 0.006311 0.00792 1
580000 0.001752 0.00883 1
590000 0.005699 0.01027 1
600000 0.014296 0.008214 1
610000 0.00148 0.008401 1
620000 0.001519 0.01098 1
630000 0.004517 0.010527 1
640000 0.004904 0.009409 1
650000 0.001564 0.009677 1
660000 0.00124 0.011861 1
670000 0.002133 0.011998 1
680000 0.009636 0.010283 1
690000 0.012022 0.009357 1
700000 0.008864 0.009985 1
710000 0.010069 0.012857 1
720000 0.001694 0.014055 1
730000 0.003007 0.013456 1
740000 0.004049 0.011431 1
750000 0.001066 0.011972 1
760000 0.007415 0.010945 1
770000 0.035366 0.011154 1
780000 0.046277 0.0126 1
790000 0.006475 0.011757 1
800000 0.003101 0.01411 1
810000 0.03927 0.011832 1
820000 0.000924 0.011567 1
830000 0.00302 0.01193 1
840000 0.001286 0.012731 1
850000 0.004242 0.012026 1
860000 0.006147 0.013292 1
870000 0.003044 0.013256 1
880000 0.008006 0.01492 1
890000 0.007316 0.010907 1
900000 0.000795 0.013153 1
910000 0.011415 0.013429 1
920000 0.001811 0.012998 1
930000 0.044922 0.013083 1
940000 0.008181 0.016334 1
950000 0.008147 0.015435 1
960000 0.050503 0.015572 1
970000 0.003835 0.018226 1
980000 0.021154 0.015056 1
990000 0.011195 0.01471 1
1000000 0.001671 0.016748 1
1010000 0.006654 0.014029 1
1020000 0.023952 0.015141 1
1030000 0.001548 0.015807 1
1040000 0.026118 0.017021 1
1050000 0.012913 0.013675 1
1060000 0.007828 0.014967 1
1070000 0.01622 0.017653 1
1080000 0.002949 0.013909 1
1090000 0.004944 0.024758 1
1100000 0.004946 0.015299 1
1110000 0.033841 0.020314 1
1120000 0.017915 0.013827 1
1130000 0.010191 0.018447 1
1140000 0.010261 0.014159 1
1150000 0.006304 0.017004 1
1160000 0.007593 0.017016 1
1170000 0.006129 0.017802 1
1180000 0.00311 0.015814 1
1190000 0.006826 0.013585 1
1200000 0.010328 0.015168 1
1210000 0.005819 0.024152 1
1220000 0.071649 0.018299 1
1230000 0.078539 0.014892 1
1240000 0.017917 0.015994 1
1250000 0.003797 0.016044 1
1260000 0.002129 0.01622 1
1270000 0.036636 0.018286 1
1280000 0.003097 0.017242 1
1290000 0.006057 0.018129 1
1300000 0.039198 0.019712 1
1310000 0.0062 0.019497 1
1320000 0.011135 0.018124 1
1330000 0.01015 0.019371 1
1340000 0.019221 0.019181 1
1350000 0.013122 0.017407 1
1360000 0.00211 0.017456 1
1370000 0.008185 0.016767 1
1380000 0.006625 0.018423 1
1390000 0.00413 0.015921 1
1400000 0.014784 0.029081 1
1410000 0.012094 0.019431 1
1420000 0.012705 0.017993 1
1430000 0.016545 0.019073 1
1440000 0.002755 0.018427 1
1450000 0.09371 0.022085 1
1460000 0.046561 0.015734 1
1470000 0.024696 0.019513 1
1480000 0.038077 0.018887 1
1490000 0.090103 0.017346 1
1500000 0.047182 0.018619 1
1510000 0.049616 0.021947 1
1520000 0.077409 0.019737 1
1530000 0.002499 0.021852 1
1540000 0.010856 0.024364 1
1550000 0.00647 0.025793 1
1560000 0.026319 0.025182 1
1570000 0.003218 0.022007 1
1580000 0.020786 0.021203 1
1590000 0.013744 0.021357 1
1600000 0.003764 0.02084 1
1610000 0.001535 0.024125 1
1620000 0.009206 0.025309 1
1630000 0.010096 0.02445 1
1640000 0.00366 0.025001 1
1650000 0.011628 0.025036 1
1660000 0.024089 0.022545 1
1670000 0.02201 0.023065 1
1680000 0.086068 0.020348 1
1690000 0.004944 0.021121 1
1700000 0.062987 0.022058 1
1710000 0.022551 0.021946 1
1720000 0.038099 0.023245 1
1730000 0.005908 0.023818 1
1740000 0.010887 0.027596 1
1750000 0.021564 0.026172 1
1760000 0.026388 0.027967 1
1770000 0.007571 0.024172 1
1780000 0.007547 0.021433 1
1790000 0.016478 0.024559 1
1800000 0.018503 0.024738 1
1810000 0.011101 0.023424 1
1820000 0.006549 0.023391 1
1830000 0.031483 0.023479 1
1840000 0.025477 0.026479 1
1850000 0.011575 0.022915 1
1860000 0.04013 0.025154 1
1870000 0.018173 0.025383 1
1880000 0.021544 0.027941 1
1890000 0.113079 0.026309 1
1900000 0.100818 0.026484 1
1910000 0.040648 0.028078 1
1920000 0.006352 0.026771 1
1930000 0.01707 0.028624 1
1940000 0.002691 0.02923 1
1950000 0.021658 0.026824 1
1960000 0.005977 0.030375 1
1970000 0.071182 0.02732 1
1980000 0.020569 0.028415 1
1990000 0.015418 0.028824 1
2000000 0.030277 0.028628 1
2010000 0.088687 0.029278 1
2020000 0.012328 0.025133 1
2030000 0.010793 0.024014 1
2040000 0.011791 0.03007 1
2050000 0.023018 0.031305 1
2060000 0.034556 0.026784 1
2070000 0.02262 0.033464 1
2080000 0.008789 0.026113 1
2090000 0.004916 0.026175 1
2100000 0.003574 0.053285 1
2110000 0.14672 0.028325 1
2120000 0.032948 0.02979 1
2130000 0.034544 0.029012 1
2140000 0.053635 0.027881 1
2150000 0.001885 0.027751 1
2160000 0.082588 0.02828 1
2170000 0.224738 0.02837 1
2180000 0.003673 0.028552 1
2190000 0.003718 0.027105 1
2200000 0.023791 0.037529 1
2210000 0.08379 0.023844 1
2220000 0.001781 0.029683 1
2230000 0.022705 0.036911 1
2240000 0.021882 0.033477 1
2250000 0.002215 0.03 1
2260000 0.054862 0.037396 1
2270000 0.013935 0.039113 1
2280000 0.062112 0.028752 1
2290000 0.017286 0.033909 1
2300000 0.008631 0.037548 1
2310000 0.004233 0.03051 1
2320000 0.016143 0.036026 1
2330000 0.045724 0.031994 1
2340000 0.009876 0.039806 1
2350000 0.052572 0.03422 1
2360000 0.012419 0.034022 1
2370000 0.049986 0.033447 1
2380000 0.216933 0.075057 1
2390000 0.160788 0.035456 1
2400000 0.050852 0.040227 1
2410000 0.036351 0.039686 1
2420000 0.010586 0.033617 1
2430000 0.016744 0.030898 1
2440000 0.011021 0.033505 1
2450000 0.012369 0.033472 1
2460000 0.096225 0.030134 1
2470000 0.010112 0.032273 1
2480000 0.010372 0.029471 1
2490000 0.009345 0.033969 1
2500000 0.016813 0.032363 1
2510000 0.010249 0.032142 1
2520000 0.028708 0.031633 1
2530000 0.102736 0.039685 1
2540000 0.012399 0.03628 1
2550000 0.011273 0.032615 1
2560000 0.022257 0.034814 1
2570000 0.037416 0.030534 1
2580000 0.01961 0.031897 1
2590000 0.013128 0.02841 1
2600000 0.010133 0.03107 1
2610000 0.012524 0.03219 1
2620000 0.0052 0.032013 1
2630000 0.014571 0.034262 1
2640000 0.054431 0.033539 1
2650000 0.025063 0.033736 1
2660000 0.062979 0.046613 1
2670000 0.163417 0.05097 1
2680000 0.054158 0.042885 1
2690000 0.139539 0.037082 1
2700000 0.01657 0.035065 1
2710000 0.016332 0.030536 1
2720000 0.012437 0.042534 1
2730000 0.095976 0.036217 1
2740000 0.008313 0.03889 1
2750000 0.249752 0.038719 1
